1 1 1 1 1 1 1 1 1 1 
1 0.904508 0.818364 0.75 0.706107 0.690983 0.706107 0.75 0.818364 0.904508 
1 0.818364 0.654508 0.524472 0.440983 0.412215 0.440983 0.524472 0.654508 0.818364 
1 0.75 0.524472 0.345492 0.230579 0.190983 0.230579 0.345492 0.524472 0.75 
1 0.706107 0.440983 0.230579 0.0954915 0.0489435 0.0954915 0.230579 0.440983 0.706107 
1 0.690983 0.412215 0.190983 0.0489435 0 0.0489435 0.190983 0.412215 0.690983 
1 0.706107 0.440983 0.230579 0.0954915 0.0489435 0.0954915 0.230579 0.440983 0.706107 
1 0.75 0.524472 0.345492 0.230579 0.190983 0.230579 0.345492 0.524472 0.75 
1 0.818364 0.654508 0.524472 0.440983 0.412215 0.440983 0.524472 0.654508 0.818364 
1 0.904508 0.818364 0.75 0.706107 0.690983 0.706107 0.75 0.818364 0.904508 
